company_name,job_title,job_description,salary_min,salary_max
N/A,Software Engineer OOP (Hybrid),"Tasks: * Build scalable cloud and on-prem solutions; * Conduct code reviews and troubleshoot; * Design, develop, deploy systems; * Develop analytics solutions; * Integrate data with BI tools; * Monitor system performance and infrastructure; * Optimize performance and user experience; * Research new technologies
Skills: [AWS][Azure][CI/CD][Cloud Computing][DevOps][Docker][Java][Kubernetes][Postgres][Python][Relational databases][Scala][Shell Scripting][Snowflake][Spark][SQL]
Perks: + Employee assistance program; + Flexible working; + LinkedIn Learning; + Volunteer time off",73000,85000
N/A,"Senior Solution Engineer, Insurance","Tasks: * Attend industry events to showcase solutions; * Build scenario-based demo scripts for insurance scenarios; * Collaborate with sales, product, and engineering teams to develop workflows; * Conduct product demonstrations for geospatial solutions; * Create technical content like whitepapers and presentations; * Design workflows for claims, underwriting, and risk assessment; * Drive Proof of Concept processes for insurance use cases; * Educate teams and clients on insurance-related features; * Gather client feedback to inform product development; * Gather feedback to improve solutions; * Integrate Nearmap data into insurance systems; * Lead technical discussions with insurance clients; * Manage client relationships and act as trusted advisor; * Respond to RFIs/RFPs with tailored technical responses; * Support clients with best practices for data integration
Skills: [AI-based risk assessment][AI Technologies][Customer Engagement][Damage detection][Data Analysis][Data integration][Geospatial Data][GIS][Presentation Skills][Python][Remote Sensing][REST APIs][Risk Assessment][Risk Modeling][SaaS platforms][Solution Development]
Perks: + Career development opportunities; + Challenging and innovative work environment; + Inclusive culture; + Remote work flexibility",269000,364000
N/A,Service Now Developer,"Tasks: * Adapt business flows to customer needs; * Administer and configure existing modules; * Configure and customize ServiceNow modules; * Deliver new application functionalities; * Design and develop ServiceNow applications; * Develop integrations; * Write technical documentation and procedures
Skills: [Active Directory][ADFS][CSS][Enterprise Software][Enterprise software integration][HTML][ITIL Foundation][JavaScript][LDAP][MS Active Directory][Relational databases][REST][ServiceNow Administration][ServiceNow Development][Software integration][Web Services][Web Services Integration][Web services integration SOAP][WSDL]
Perks: + Bonuses; + Career coaching; + Competitive salary; + Employee assistance; + Flexible hours; + Global opportunities; + Hobby clubs; + Inclusion programs; + Recognition awards; + Share plan; + Tech communities; + Training and certifications; + Wellbeing programs; + Work-life balance",N/A,N/A
N/A,Cloud Infrastructure Engineer - Hybrid Tempe,"Tasks: * Apply security policies and monitor security alerts; * Automate provisioning with CI/CD tools; * Create scripts using PowerShell and Azure CLI; * Deploy and manage Microsoft Intune and Autopilot; * Design and deploy scalable Azure infrastructure; * Implement Infrastructure-as-Code pipelines; * Lead incident response and troubleshooting; * Manage Azure Landing Zones and core services; * Monitor and optimize cloud costs; * Support hybrid infrastructure and migrate workloads
Skills: [ARM Templates][Autopilot][Azure AD][Azure CLI][Azure DevOps][Azure Monitor][Bicep][Cloud Security][Darktrace][ExpressRoute][GitHub Actions][Hyper-V][Microsoft Azure][Microsoft Intune][Performance optimization][Platform scalability][Powershell][RBAC][Splunk][Terraform][VMware][VPN][Zero Trust][Zero Trust Security]
Perks: + 401k match; + Leadership training; + Life insurance; + Medical/Dental/Vision; + Tuition assistance; + Vacation paid holidays",126000,200000
N/A,"Cybersecurity Engineer, M&A Automation","Tasks: * Analyze sensor data to identify threats; * Apply network protocol expertise and DDoS mitigation; * Collaborate with cybersecurity and engineering teams; * Contain and mitigate security threats; * Deploy and maintain security infrastructure; * Develop SIEM rules, dashboards, and alerts; * Enhance Detection Capabilities; * Identify emerging threats and trends; * Implement cloud security controls and automate workflows; * Manage IAM solutions including Active Directory, SSO, MFA; * Monitor and triage security alerts; * Operationalize threat intelligence; * Respond to security incidents; * Support incident response investigations
Skills: [AI/ML][AI/ML in cybersecurity][Application Security][AV/EDR][CI/CD][Cloud Security][Containerization][DDoS Mitigation][DevSecOps][IAM management][Incident Response][Infrastructure Deployment][Machine Learning][Malware analysis][ML in cybersecurity][Network Analysis][Network Protocols][OWASP Top 10][Packet Analysis][Programming/Scripting][Regulatory Frameworks][Regulatory frameworks (PCI][Regulatory frameworks (PCI DSS][Regulatory frameworks (PCI DSS ISO27001)][Security Automation][Security Infrastructure][Security infrastructure deployment][Security monitoring][Security Tools][Security tools (WAF][Security tools (WAF, IDS, AV, EDR)][Security workflows][SIEM development][Threat detection][Threat Intelligence][Top 10][Vulnerability scanning][Web Application][Web application security]
Perks: + Comprehensive benefits including health and wellness; + Hybrid work; + Travel opportunities",116000,164000
N/A,Senior Data Scientist,"Tasks: * Collaborate with cross-functional teams; * Create algorithms for market dynamics detection; * Deploy models into production systems; * Design and optimize data pipelines; * Develop and fine-tune predictive models; * Evaluate and iterate model performance; * Lead data gathering and preprocessing; * Mentor junior team members; * Monitor emerging data science trends; * Provide technical leadership in model validation and improvement; * Translate analytical findings into strategies
Skills: [Apache Spark][AWS Quick Sight][AWS Redshift][AWS SageMaker][Big Data][Big Data Technologies][Data Manipulation][Data pipeline][Data pipeline design][Data Technologies][Data Visualization][Deep learning][Matplotlib][Model Deployment][NumPy][Pandas][Pipeline Design][Python][PyTorch][Quick Sight][R][Reinforcement Learning][Scikit-learn][SciPy][Seaborn][SQL][Statistical Methods][Tableau][TensorFlow][Time Series][Time Series Analysis]
Perks: + Flexible work arrangements; + Inclusive workplace; + Work-life balance",117000,165000
N/A,Staff Software Engineer,"Tasks: * Build and maintain front-end and back-end features; * Collaborate with cross-functional teams; * Design scalable software systems; * Improve engineering standards and tooling; * Participate in code reviews; * Troubleshoot and debug issues; * Write clean and testable code
Skills: [Algorithms][Angular][Automated testing][AWS][Azure][CI/CD][CI/CD pipelines][Cloud Platforms][Data Structures][Design Principles][Docker][Go][Google Cloud][JavaScript][Kubernetes][NoSQL][OCI][Python][React][Relational databases][Software Design][Software Design Principles][SQL][TypeScript][Vue]
Perks: + Flexible work environment; + Personalized learning opportunities; + Wellbeing programs",149000,204000
N/A,Software Engineer,"Tasks: * Collaborate on software projects; * Communicate technical vision; * Create flow diagrams; * Design software structures; * Estimate effort for tasks; * Identify IT improvements; * Manage work items; * Mentor team members; * Perform devops tasks; * Support diversity and inclusion efforts; * Troubleshoot system issues
Skills: [API Design][API Development][Application lifecycle][Application Lifecycle Management][Cassandra][C .NET][Couchbase][DevOps Tools][Distributed Version Control][Domain-Driven Design][Git][Jira][Lifecycle Management][Microsoft technologies][MongoDB][MS Build][NoSQL Databases][RDBMS][SDLC][SQL Server][TFS][Version control][Visual Studio][VSTS]
Perks: + Benefits; + Career growth; + Competitive salary; + Inclusive culture",85000,110000
N/A,Consultant- Data Analyst,"Tasks: * Apply statistical methods and develop predictive models; * Build and maintain dashboards and reports; * Clean and prepare data for analysis; * Collaborate with cross-functional teams; * Develop and maintain ETL processes; * Document data and contribute to data dictionaries; * Ensure data governance and security compliance; * Extract and transform data from various sources; * Mentor junior analysts; * Perform exploratory data analysis; * Present findings to stakeholders
Skills: [Airflow][APIs Salesforce][AWS][BigQuery][CCPA][Cloud Platforms][Cloud platforms Azure][Communication][Critical Thinking][Data Bricks][Data Governance][Data Modeling][Data Security][Data Visualization][Data visualization Tableau][Data Warehouses][Data warehouses (Snowflake][Decision Trees][ETL Tools][ETL tools dbt][Financial Services][Financial services experience][GCP][GDPR][GitHub][GitLab][Hypothesis Testing][Kafka][MS Dynamics][Neural Networks][Nifi][NumPy][Oracle CRM][Pandas][Power BI][Presentation Skills][Problem Solving][Python][R][Redshift][Regression Analysis][Scikit-learn][SQL][Statistical Analysis][Streamsets][Tools (dbt][Version control][Version Control (Git)][Visualization Tableau]
Perks: + Diversity and inclusion initiatives; + Employee assistance; + Flexible work environment; + Health coverage; + Paid parental leave; + Retirement plan; + Wellness programs",88000,108000
N/A,Senior Data Engineer II,"Tasks: * Build and maintain scalable data pipelines; * Conduct code reviews; * Design data and AI platforms; * Develop ETL workflows; * Ensure data quality and governance; * Implement data monitoring and observability; * Optimize data pipelines; * Participate in agile processes; * Stay current with industry tech; * Support migration from legacy systems; * Support platform adoption
Skills: [Airflow][Best practices][Big Data][Big data processing][Databricks][Data pipeline][Data pipeline management][Data Processing][Data Validation][Development Best Practices][Distributed Computing][ETL/ELT][Glue][Monitoring and observability][Performance optimization][Pipeline Management][Python][Software development][Software Development Best Practices][Spark][SQL]
Perks: + Employee assistance program; + Flexible working; + Health and lifestyle benefits; + Learning and development; + Social events; + Supportive culture",130000,160000
N/A,"Senior Software Engineer II , Retail Pricing","Tasks: * Build responsive user interfaces; * Collaborate with cross-functional teams; * Develop scalable APIs and data services; * Leverage AWS for deployment and scaling; * Mentor junior engineers; * Write clean, documented code
Skills: [Agile][Angular][AWS][CI/CD][Containerization][CSS][Databricks][Data Transformation][Data Warehousing][DevOps][Docker][Git][HTML][IaC][Java Spring][Java Spring Boot][Kubernetes][Performance optimization][Relational databases][Responsive Design][Scrum][Spark][Spring Boot][SQL][TypeScript]
Perks: + Competitive benefits; + Employee assistance program; + Flexible working options; + Learning and development tools; + Social events; + Supportive culture",130000,160000
N/A,"Senior Software Engineer II, Commercial & Wealth","Tasks: * Build responsive user interfaces; * Collaborate with cross-functional teams; * Design technical solutions; * Develop scalable APIs and data services; * Ensure code quality and best practices; * Leverage cloud services for deployment and scaling; * Mentor junior engineers; * Optimize application performance and scalability; * Write clean, documented code
Skills: [Agile][Angular][AWS][CI/CD][Communication][Containerization][CSS][Databricks][Data Transformation][Data Warehousing][DevOps][Docker][Git][HTML][Java Spring][Java Spring Boot][Kubernetes][Problem Solving][Relational databases][Scrum][Spring Boot][Spring Framework][SQL][TypeScript]
Perks: + Employee assistance program; + Flexible working; + Health and lifestyle benefits; + Learning and development; + Social events; + Supportive culture",130000,160000
N/A,"Staff Full-Stack Software Engineer, Dev Agent Tools","Tasks: * Build scalable and reusable code; * Design and implement new products and features; * Enhance existing products; * Integrate AI into workflows and decision-making; * Mentor colleagues and promote knowledge sharing; * Understand requirements and own code from design to delivery; * Work with product owners to meet user needs
Skills: [AI integration][Algorithms][Data Structures][Design Patterns][Frameworks Angular][Java][JavaScript][Object-Oriented][Object-oriented design][Performance optimization][Prompt engineering][React][TypeScript][UI Frameworks][UI frameworks Angular][Vue][Web development][Workflow automation]
Perks: + 401k with match; + ESPP; + Family leave; + Flexible spending accounts; + Flexible time off; + Health plans; + Matching donations",163000,286000
N/A,"Business Analyst II (Data & Compliance Analyst II) - Legacy, IS Operational Experience","Tasks: * Apply statistical techniques; * Automate data workflows; * Communicate insights; * Create dashboards and reports; * Data cleaning and preprocessing; * Data extraction and transformation; * Develop data models; * Document audit issues and remediation; * Facilitate audit walkthroughs; * Identify data issues; * Maintain compliance with SOX and controls; * Perform exploratory data analysis; * Review audit evidence; * Support IT audit procedures; * Validate data quality
Skills: [Audit Frameworks][BI platforms][Dashboard Development][Data Analysis][Data Management][Data Quality][Data Quality Management][Data Security][Data Storytelling][Data Visualization][ETL Processes][IT controls][Process Mapping][Quality management][SQL][Statistical Analysis][Version control]
Perks: + 401k with match; + Commuter benefit; + Dependent care FSA; + EAP; + Educational reimbursement; + Employee stock purchase plan; + Flexible days; + Holidays; + HSA; + Life & disability insurance; + Medical/Dental/Vision; + Paid parental leave; + Paid sick time; + Paid vacation; + Training and development",85000,135000
N/A,"Staff Software Engineer, Lending","Tasks: * Contribute to architectural decisions; * Design and build microservice and event-driven architectures; * Develop and maintain Java projects on AWS; * Monitor applications using logs and metrics with Grafana; * Optimize databases, mainly DynamoDB; * Participate in technical analysis with product team; * Solve distributed transaction problems; * Use Terraform to manage AWS resources
Skills: [AWS][CI/CD][Docker][DynamoDB][Event Driven][Event-driven architecture][Grafana][Java][Kubernetes][Logging and Monitoring][Microservices][OpenAPI Swagger][Postman][Terraform][Testing (unit][Testing (unit/integration)][Testing (Unit, Integration, Load)]
Perks: + Remote work",110000,162000
N/A,"Staff Software Engineer, Tokenization","Tasks: * Deploy applications on AWS; * Develop and maintain projects in Golang and Java; * Execute Terraform for resource management on AWS; * Monitor applications via logs and metrics; * Participate in technical analysis with product team; * Perform code reviews
Skills: [Architecture][AWS][Code review][Compliance (PCI)][Cryptography][Deployment][Design Systems][Environment configuration][Golang][Java][Logging][Metrics][Monitoring][Pen Testing][Security][Terraform]
Perks: + 401k; + Dental; + Medical; + Paid time off; + Remote work; + Stock options; + Travel flexibility; + Vision; + Wellness programs",110000,162000
N/A,Senior Staff Test Engineer / Team Leader,"Tasks: * Analyze and troubleshoot analog and digital circuits; * Communicate with stakeholders and provide technical guidance; * Contribute to company objectives and strategic initiatives; * Create and optimize test procedures for IC chips and circuits; * Develop and debug test hardware and software; * Lead test development for analog digital and mixed signal systems; * Manage and coordinate test projects and teams
Skills: [Analog Digital Testing][Automated test systems][Bus interfaces][Controller testing][C++, Perl][Debugging analog products][Digital testing][Hardware Design][High current switcher and controller testing][Multimeters][Oscilloscopes][PCB Layout][Program Development][Python][Serial Bus Interfaces][Spectrum analyzers][Test Development][Test hardware][Test hardware design][Test program development][Test systems]
Perks: + Career development opportunities; + Flexible work environment; + Inclusive culture; + Remote work options",137000,220000
N/A,AI Research Engineer- Advanced Driving Assistance Systems (ADAS),"Tasks: * Attend conferences and seminars to stay updated; * Collaborate with global teams to transfer research findings; * Conduct AI and machine learning research for Embodied AI in ADAS/AD and robotics; * Develop 3D perception solutions for automated driving; * Implement research into real-world systems; * Publish research findings and file patents
Skills: [3D Perception][3D Reconstruction][Autonomous Driving][BEV grid][C++][Computer Vision][Data Analysis][Deep learning][Diffusion Models][Gaussian Splatting][Multimodal Transformers][Nerf][Python][PyTorch][Rust][Sensor Calibration][SLAM][System Integration][VLMs][Voxel/BEV grid]",165000,200000
N/A,Associate Solutions Designer,"Tasks: * Architect on-prem and cloud platforms; * Assess and migrate applications to cloud; * Automate deployment using Infrastructure as Code; * Collaborate with stakeholders to define technical requirements; * Deliver secure scalable infrastructure solutions; * Design reference architectures for cloud solutions; * Develop automation templates for cloud deployment; * Implement best practices for security, reliability, and cost optimization; * Participate in technical discussions and leadership communication; * Support large-scale production systems in cloud environments
Skills: [AI/ML][Ansible][Automation Testing][Autoscaling][AWS][Azure][Bitbucket][CI/CD][Cloud Native][Cloud Native Architecture][Compute][Database][Docker][GCP][Generative AI][Git][GitHub][Infrastructure as Code][Jenkins][Kubernetes][Linux][Networking][Python][Self-healing][Self-healing systems][Storage][Terraform]
Perks: + 401k; + Dental; + FSA/HSA; + Life insurance; + Medical; + Paid time off; + Vision; + Wellness program",79000,113000
N/A,Principal Engineer Software (Prisma Access) - NetSec,"Tasks: * Apply security and networking principles in software development; * Collaborate with cross-functional teams including QA and DevOps; * Create functional specifications and evaluate requirements; * Debug and support software products; * Design and develop new virtualization features; * Implement integrations across cloud environments; * Mentor junior team members; * Participate in all product development phases; * Troubleshoot customer issues
Skills: [Algorithms][Application development][AWS][C#][C++][Cloud application][Cloud application development][Collaboration skills][Data Structures][Debugging][Design Skills][GCP][Go][Kubernetes][Linux][Microservices][Networking][Network Security][OpenStack][Operating System][Operating system principles][Packet Processing][Python][System Software][TCP/IP][TLS][Virtualization Platforms][VMware]
Perks: + Flexible work arrangements; + Personalized learning opportunities; + Wellbeing programs",N/A,N/A
N/A,Backend Engineer,"Tasks: * Design data architecture solutions; * Develop backend services with Python and FastAPI; * Integrate AI components into backend systems; * Participate in code reviews and agile processes; * Troubleshoot backend issues; * Work with Azure and NoSQL databases; * Write clean and documented code
Skills: [Agile Development][AI/ML][AI/ML concepts][Azure][Code Documentation][Data Architecture][FastAPI][ML concepts][NoSQL Databases][Problem Solving][Python][Troubleshooting]
Perks: + Company-provided equipment; + Flexible working options; + Learning opportunities; + Mentoring and development",N/A,N/A
N/A,Staff Engineer Software (Prisma Access)- NetSec,"Tasks: * Apply security platform features to Prisma Access; * Collaborate with development and QA teams; * Design scalable cloud security features; * Develop and implement software infrastructure; * Profile and optimize system software for cloud; * Troubleshoot customer issues with DevOps teams
Skills: [Algorithms][Application development][C#][C++][Cloud application][Cloud application development][Data Structures][Debugging][Go][Linux][Linux/Unix][Microservices][Networking][Network stack][Network stack development][OS principles][Python][TCP/IP][TLS]
Perks: + Flexible work environment; + Personalized learning opportunities; + Wellbeing programs",N/A,N/A
N/A,Solutions Consultant 2 - FSI,"Tasks: * Act as customer advocate for technical issues; * Collaborate with internal teams on go-to-market strategies; * Conduct market research and create strategic partnerships; * Create technical account and success plans; * Define technical security solutions; * Deliver customer demos and workshops; * Develop proposals and responses to RFPs/RFIs; * Differentiate against competitors; * Identify and document customer problems for solutions; * Manage customer technical health and lifecycle; * Provide technical leadership and guidance; * Support pre/post-sales lifecycle for FSI accounts; * Travel to industry and government events
Skills: [Azure][Cloud Platforms][Cloud Platforms (AWS][Cloud Security][Customer presentation][Cybersecurity][DISA STIGs][Firewall Configuration][Frameworks NIST][GCP][IDS/IPS][IPSec][Market Research][Networking L2][Networking L2-L4][Network Security][Proposal Writing][Security Architecture][Security Frameworks][Security frameworks NIST][Security Protocols][Security protocols (SSL][Security Tools][Security tools SOAR][Solution architecture][Solution Development][Strategic Planning][Technical Consulting][Technical demos]
Perks: + Collaborative environment; + Flexible benefits; + Industry training; + Travel opportunities",198000,313000
N/A,Cybersecurity Engineer - GRC,"Tasks: * Conduct security assessments with technical teams; * Coordinate audit activities; * Develop and maintain automation scripts; * Manage penetration testing and ASV scanning; * Monitor regulatory and cybersecurity trends; * Oversee security and compliance assessments; * Refine GRC processes; * Respond to security evaluations
Skills: [AI tools][Audit workflow][Automation platforms][Control Testing][Control Validation][Cybersecurity Standards][Data extraction][Data Security][Evidence management][PCI 3DS][PCI DSS][Powershell][Python][Risk Management][Security assessment][SOC 2]
Perks: + 401k; + Dental; + FSA/HSA; + Life insurance; + Medical; + Paid time off; + Vision; + Wellness program",116000,164000
N/A,Senior Staff Software Engineer (Cloud NW & AI Security),"Tasks: * Create functional specifications and support debugging; * Design and implement hypervisor deployments; * Develop device drivers and Linux kernel software; * Develop virtualization and SDN integrations; * Improve core networking in software environments; * Participate in all product development phases
Skills: [Bash Scripting][Cloud deployment][C Programming][Hyper-V][Kernel development][KVM][Linux Kernel][Linux Kernel Development][Networking][Networking Hardware][Network Security][OpenStack][Orchestration Systems][Python Scripting][SDN][Software development][System Software][System Software Development][VMware ESX][XenServer]
Perks: + Bonuses; + Flexible work environment; + Learning opportunities; + Stock options; + Wellbeing programs",126000,204000
N/A,Desarrollador Backend Java Semisenior,"Tasks: * Adapt to hybrid tech environments; * Collaborate in agile teams; * Design and implement microservices and RESTful APIs; * Develop backend applications using Java; * Participate in banking sector projects; * Resolve complex technical issues; * Use tools like JIRA, Git, Maven, JUnit, Postman, Jenkins, SonarQube; * Utilize monitoring tools like Atenea and Dynatrace; * Work with databases Oracle and MongoDB
Skills: [Agile methodologies][Atenea][Dynatrace][Git][Java][JDC][Jenkins][Jira][JUnit][Maven][Microservices][MongoDB][Oracle SQL][Postman][REST API][SonarQube][Spring Boot]",N/A,N/A
N/A,Technical Enablement Specialist - NetSec,"Tasks: * Analyze program participation data and propose improvements; * Create technical training modules and documentation; * Deliver technical enablement sessions and workshops; * Design onboarding learning paths for new hires; * Develop and manage hands-on lab environments; * Enhance NetSec technical mastery and instructional design skills; * Gather and synthesize technical product information; * Manage enablement programs and stakeholder requirements; * Mentor junior team members and contribute to their development; * Participate in stakeholder meetings and provide enablement input; * Review and ensure accuracy of enablement content; * Support configuration troubleshooting of NetSec labs
Skills: [Content development][Cybersecurity][Data Analysis][Environment Management][Instructional Design][Lab environment][Lab environment management][NetSec products][Network Security][NGFW][Program Management][SASE][Security operations][Security Subscriptions][Stakeholder management][Technical content development][Technical Training][Troubleshooting]
Perks: + Mental and financial health resources; + Onsite work in Santa Clara or Plano; + Personalized learning opportunities; + Wellbeing spending account",134000,215000
N/A,Senior Identity Security Services Engineer,"Tasks: * Assist with technical support; * Collaborate on consulting activities; * Coordinate implementation tasks; * Develop training materials; * Lead customer implementations; * Maintain customer relationships; * Manage project plans and timelines; * Support technical escalations; * Travel up to 10%
Skills: [Access Management][Azure][CyberArk products][Identity and access][Identity and Access Management][Information security][Java][MFA][Network Architecture][O365][OAuth][OIDC][Powershell][Python][SCIM][SSO][Technical Presentations][Technical Training][Unix][Windows][Workflow automation]
Perks: + Dental; + Discretionary bonus; + Financial benefits; + Medical; + Vision",90000,132000
